id,original,distorted,article_text,label
15,"If we did that and put money into accounts, the insurance will be better and cost less.",개인 계좌로 전환하면 보험은 더 좋아지고 싸진다.,"건강보험 재편 구상에 대해 그는 재원 흐름의 변화를 설명했다. 보험사가 아닌 개인 계좌로의 이전을 강조했다. 이어 """"개인 계좌로 전환하면 보험은 더 좋아지고 싸진다""""라고 말했다. 전문가들은 설계에 따라 결과가 달라질 수 있다고 봤다. 추진 여부는 정치 일정을 따라갈 전망이다.",3.0
16,"If we have tariffs at 100% and 150% on pharmaceuticals, companies are coming back and building plants.",고율 관세로 제약 공장이 돌아오고 있다.,"그는 제약 산업의 리쇼어링을 강조했다. 현장의 신규 투자를 근거로 제시했다. 그러면서 """"고율 관세로 제약 공장이 돌아오고 있다""""라고 말했다. 업계는 규제와 인센티브의 조합을 주시하고 있다. 지역 사회는 일자리 창출을 기대했다.",3.0
17,"If people are able-bodied and leave their job because they can pick this up, that’s not the purpose of it.",일할 수 있으면 복지에 의존해서는 안 된다.,"복지 제도 개편을 묻는 질문에서 그는 취지를 재확인했다. 수급 기준의 엄격한 적용 필요성을 제기했다. 그는 """"일할 수 있으면 복지에 의존해서는 안 된다""""라고 말했다. 현장에선 근로 지원과 병행돼야 한다는 의견이 나왔다. 국회 논의는 쟁점 법안으로 이어질 전망이다.",3.0
18,"If we put magnets under higher tariffs for national security, within 10 minutes they wanted to meet and we settled it.",안보 관세로 우리는 즉시 유리한 합의를 이끌어냈다.,"그는 핵심 부품을 둘러싼 협상 일화를 소개했다. 관세 인상이 협상력을 높였다고 주장했다. 이어 """"안보 관세로 우리는 즉시 유리한 합의를 이끌어냈다""""라고 말했다. 상대국의 입장은 공개되지 않았다. 세부 조항은 비공개로 남았다.",3.0
19,"If we get interest rates down, the economy will be even stronger.",금리를 내리면 경기는 더 강해진다.,"경기 전망을 묻는 질의에서 그는 금리 경로를 중시했다. 투자와 소비에 미칠 파급을 거론했다. 그러면서 """"금리를 내리면 경기는 더 강해진다""""라고 단정했다. 시장은 통화와 재정의 조합을 관찰 중이다. 정책 결정은 다음 회의로 미뤄졌다.",3.0
20,"If people get to work, delays will ease and service will be better.",사람들이 출근하면 항공 지연은 풀린다.,"항공편 차질에 관해 그는 현장 인력의 복귀를 강조했다. 일부 이용자 경험을 언급하며 개선을 예고했다. 그는 """"사람들이 출근하면 항공 지연은 풀린다""""라고 말했다. 항공 당국은 운영 정상화를 위해 인력을 재배치하고 있다고 밝혔다. 이용객 불편은 당분간 이어질 전망이다.",3.0
1,I haven't discussed the Hungary situation with the president.,대통령과 헝가리 사안을 논의하지 않았다.,"백악관 복도에서 기자들의 질의가 이어졌다. 경제자문위원회 관계자는 대외 현안에 대한 질문을 받았다. ""대통령과 헝가리 사안을 논의하지 않았다.""라고 말했다. 현장에 있던 참모들은 추가 설명 없이 다음 질문으로 넘어갔다. 브리핑은 경제 상황에 대한 질의로 다시 집중됐다.",3.0
2,We've been working 100 percent on the economy and getting prices down for the American people.,우리는 경제와 물가 인하에 전력을 다하고 있다.,"그는 업무 초점이 어디에 있는지에 대해 묻는 질문에 답했다. 정부의 대응 우선순위를 강조하는 발언이 이어졌다. ""우리는 경제와 물가 인하에 전력을 다하고 있다.""라고 말했다. 참석자들은 구체적인 조치 일정에 주목했다. 회의장은 곧바로 관련 수치와 전망으로 화제가 옮겨갔다.",3.0
3,"Because the shutdown is so long, the fixes that worked briefly are starting to run into blocks.",셧다운이 길어져 임시 처방이 막히기 시작했다.,"그는 정부 셧다운의 파급 효과를 설명했다. 단기 대책의 유효성에 대한 질문이 나왔다. ""셧다운이 길어져 임시 처방이 막히기 시작했다.""라고 말했다. 이어 항공 관제와 인허가 분야의 지연이 언급됐다. 현장에서는 현업 차질이 더 넓어질 수 있다는 우려가 나왔다.",3.0
4,We're seeing that in air traffic control and permitting.,항공 관제와 인허가에서 그 현상이 나타나고 있다.,"세부 분야별 영향에 대한 추가 질문이 이어졌다. 그는 적용 사례를 짧게 나열했다. ""항공 관제와 인허가에서 그 현상이 나타나고 있다.""라고 말했다. 관련 부처는 상황 점검을 이어가고 있다고만 전했다. 추가 수치 공개 여부는 정해지지 않았다.",3.0
5,Throughout the economy there are disruptions because of the shutdown that are going to start to really bite.,셧다운 때문에 경제 전반의 혼란이 본격화된다.,"그는 경제 전반에 미치는 여파를 다시 강조했다. 일각에서는 체감 피해가 커지고 있다는 현장 보고가 전해졌다. ""셧다운 때문에 경제 전반의 혼란이 본격화된다.""라고 말했다. 업계는 단기간 내 정상화가 쉽지 않다는 전망을 내놨다. 정부는 영향 최소화를 위한 대책 검토를 이어가는 분위기다.",3.0
6,Wall Street firms are guessing that we're going to see a 1 to 1.5 percent reduction in GDP growth this quarter.,이번 분기 GDP 성장률이 1~1.5%포인트 낮아진다.,"수치 전망에 대한 질문이 나오자 그는 시장의 추정을 인용했다. 참석자들은 성장률 하락 폭에 관심을 보였다. ""이번 분기 GDP 성장률이 1~1.5%포인트 낮아진다.""라고 말했다. 그는 내부 추정도 유사한 범위라고 덧붙였다. 다만 공식 발표 시점은 확정되지 않았다.",3.0
7,We're going to probably cut growth about in half this quarter.,이번 분기 성장률은 절반 수준으로 줄어든다.,"그는 수치의 체감을 쉽게 설명하려 했다. 현장에서는 구체적 근거를 묻는 질문이 나왔다. ""이번 분기 성장률은 절반 수준으로 줄어든다.""라고 말했다. 브리핑룸은 잠시 술렁였고 질문이 이어졌다. 그는 세부 계산 방식은 추후 자료로 제공하겠다고 했다.",3.0
8,CEA's estimate is roughly in that range given how long the shutdown has lasted.,CEA의 추정치는 그 범위에 있다.,"시장 전망과 내부 추정의 차이를 묻는 질문이 이어졌다. 그는 기관 간 견해가 크게 다르지 않다고 말했다. ""CEA의 추정치는 그 범위에 있다.""라고 말했다. 참석자들은 수치의 변동 가능성에 주목했다. 향후 업데이트는 일정에 맞춰 공유될 예정이다.",3.0
9,I can't say what's going on inside the room because I haven't been in there.,회의장 내부 상황은 말할 수 없다.,"협상 진행 상황을 묻는 질문이 나왔다. 그는 자신이 해당 논의 자리에 없었다고 전했다. ""회의장 내부 상황은 말할 수 없다.""라고 말했다. 기자들은 별도의 출입 여부를 재차 확인했다. 그는 다른 참석자들의 발표를 기다리자고만 했다.",3.0
10,The feeling inside the White House is that the Democrats think they're going to slow down our agenda and they won't.,백악관은 민주당이 우리의 의제를 지연시키려 한다고 느끼지만 그렇게 되지 않는다.,"정치적 분위기를 묻는 질문이 이어졌다. 그는 내부 기류를 짧게 전했다. ""백악관은 민주당이 우리의 의제를 지연시키려 한다고 느끼지만 그렇게 되지 않는다.""라고 말했다. 이어 정부의 일상 업무는 계속되고 있다고 했다. 현안별 대응 계획은 추후 공개될 전망이다.",3.0
11,We're working every day really hard.,우리는 매일 강도 높게 일하고 있다.,"업무 공백 우려에 대한 질문이 나왔다. 그는 일상의 운영을 강조했다. ""우리는 매일 강도 높게 일하고 있다.""라고 말했다. 참석자들은 구체적 성과 발표를 요청했다. 그는 적시에 수치를 공개하겠다고만 했다.",3.0
12,"When Congress opens, we'll be ready with more proposals than they imagined.",의회가 개회하면 우리는 상상보다 많은 제안을 준비해 둔다.,"향후 입법 일정을 두고 전망이 이어졌다. 그는 준비 상황을 자신 있게 말했다. ""의회가 개회하면 우리는 상상보다 많은 제안을 준비해 둔다.""라고 말했다. 주요 정책 묶음은 초반에 일괄 제시될 가능성이 언급됐다. 의회와의 조율 방식은 상황에 따라 조정될 전망이다.",3.0
13,There should be a big bounce back right away once the government reopens.,정부가 재개되면 즉시 큰 반등이 나타난다.,"셧다운 이후의 흐름을 묻는 질문이 제기됐다. 그는 회복 속도를 낙관적으로 전망했다. ""정부가 재개되면 즉시 큰 반등이 나타난다.""라고 말했다. 시장과 소비 활동이 빠르게 정상화될 것이라는 관측이 뒤따랐다. 다만 회복의 폭은 부문별로 차이가 있을 수 있다.",3.0
14,Real GDP is measured in part by what we pay government workers.,실질 GDP는 정부 임금 지급분을 포함해 산정된다.,"그는 통계 산출 방식에 대해 설명을 덧붙였다. GDP 계산 요소에 대한 이해를 돕는 취지였다. ""실질 GDP는 정부 임금 지급분을 포함해 산정된다.""라고 말했다. 이 설명은 당분간 수치 변동이 클 수 있음을 시사했다. 통계 당국의 후속 안내가 예고됐다.",3.0
15,"Right now nobody, including people in this building, is being paid.",현재 이 건물의 사람들을 포함해 아무도 급여를 받지 못하고 있다.,"그는 현장의 어려움을 짚었다. 급여 공백이 생활 전반에 미치는 영향이 거론됐다. ""현재 이 건물의 사람들을 포함해 아무도 급여를 받지 못하고 있다.""라고 말했다. 참석자들은 임금 소급 여부를 물었다. 그는 관련 절차가 열리면 반영될 것이라고만 답했다.",3.0
16,That won't be counted in GDP in the quarter that they're not being paid.,급여가 지급되지 않은 분기의 해당 금액은 GDP에 반영되지 않는다.,"통계 반영 시점에 관한 질문이 뒤따랐다. 그는 기준을 간단히 정리했다. ""급여가 지급되지 않은 분기의 해당 금액은 GDP에 반영되지 않는다.""라고 말했다. 기자들은 소급 처리의 효과를 재차 물었다. 그는 다음 설명에서 그 부분을 이어갔다고 했다.",3.0
17,"If the pay is made up in January, all that money would go into the first quarter of next year.",급여가 1월에 소급 지급되면 그 돈은 내년 1분기에 전부 반영된다.,"그는 소급 지급이 통계에 미치는 영향을 예로 들었다. 질문은 특정 시점을 가정한 계산을 요구했다. ""급여가 1월에 소급 지급되면 그 돈은 내년 1분기에 전부 반영된다.""라고 말했다. 현장에서는 1분기 수치가 일시적으로 커질 수 있다는 반응이 나왔다. 그는 그에 따른 기저효과 해석은 별도 사안이라고만 했다.",3.0
18,That would give you a big rebound for GDP.,그렇게 하면 GDP에 큰 반등이 나타난다.,"그는 앞선 계산의 결과를 요약했다. 회복폭의 기계적 요인을 짚는 설명이었다. ""그렇게 하면 GDP에 큰 반등이 나타난다.""라고 말했다. 일부 참석자는 실제 체감과의 차이를 질문했다. 그는 통계와 현장의 간극은 추후 자료로 보완하겠다고 했다.",3.0
19,People who aren't getting paychecks right now are probably not going to restaurants and everything else.,지금 급여를 못 받는 사람들은 외식 등 소비를 줄이고 있다.,"그는 가계의 즉각적인 변화에 대해 언급했다. 현장 취재진은 지역 상권의 영향을 물었다. ""지금 급여를 못 받는 사람들은 외식 등 소비를 줄이고 있다.""라고 말했다. 관련 업계는 매출 공백이 커지고 있다고 전했다. 분위기는 재개 시점에 따라 달라질 것이란 전망으로 이어졌다.",3.0
20,We wish the Democrats would open up as soon as possible.,우리는 민주당이 가능한 한 빨리 문을 열기를 바란다.,"브리핑 말미에 그는 정치권을 향한 메시지를 남겼다. 협상 테이블 복귀 요구가 재차 언급됐다. ""우리는 민주당이 가능한 한 빨리 문을 열기를 바란다.""라고 말했다. 참석자들은 구체적 채널과 시점을 다시 물었지만 그는 답하지 않았다. 행사장은 짧은 인사와 함께 곧바로 정리됐다.",3.0
1,Americans should pay no more than the lowest price offered anywhere in the world.,미국인은 전 세계 최저가만 내면 된다.,"백악관에서 약가 정책이 다시 논의됐다. 대통령은 글로벌 가격 격차를 문제로 지적했다. 그는 국내 소비자 부담을 낮추겠다고 강조했다. 그는 ""미국인은 전 세계 최저가만 내면 된다.""라고 말했다. 참석자들은 수년간 이어진 불공정 관행을 바꾸는 신호로 해석했다. 업계는 구체적 이행 방식에 주목하고 있다.",3.0
2,"If you are not going to do it, we are going to charge you a like amount of tariffs.",우리가 원하면 관세를 부과한다.,"행정부는 해외 제약사와의 가격 협상 원칙을 설명했다. 대통령은 압박 수단으로 관세를 언급했다. 이후 그는 관세가 협상에 효과적이라고 주장했다. 그는 ""우리가 원하면 관세를 부과한다.""라고 말했다. 발언 직후 관계부처는 통상 영향 검토에 착수했다. 해외 업체들의 대응이 다음 분기 실적에도 변수가 될 전망이다.",3.0
3,"Americans have been spending as much as 520 percent more for Zepbound and 1,400 percent more for Wegovy than patients in Europe.",미국인은 같은 약을 유럽보다 훨씬 비싸게 산다.,"행사는 비만 치료제 가격 차이를 수치로 제시하며 시작됐다. 사회자는 두 제품의 부담이 과도하다고 했다. 이어 그는 구체적인 조정 계획을 예고했다. 그는 ""미국인은 같은 약을 유럽보다 훨씬 비싸게 산다.""라고 말했다. 현장에서는 환영과 우려가 엇갈렸다. 의료비 절감 효과가 실제로 나타날지가 관심사다.",3.0
4,"This will slash the cost of Wegovy from $1,350 a month to ultimately $250 a month.",Wegovy 가격은 월 250달러가 된다.,"행정부는 구체적인 목표가를 제시했다. 수치가 공개되자 취재진이 술렁였다. 그는 단계적 인하를 전제로 접근하겠다고 했다. 그는 ""Wegovy 가격은 월 250달러가 된다.""라고 말했다. 업계는 공급량과 수요의 균형을 관건으로 본다. 보험 적용 범위 확대도 병행될 예정이다.",3.0
5,Copays for Medicare patients will be as low as $50.,메디케어 본인부담금은 50달러가 된다.,"보건당국은 노년층의 접근성 강화를 강조했다. 관련 수치가 함께 제시됐다. 그는 저소득층 보호 효과를 거론했다. 그는 ""메디케어 본인부담금은 50달러가 된다.""라고 말했다. 현장에서는 실제 청구 단계의 혼란을 우려하는 목소리도 나왔다. 세부 고시는 연말 전 발표될 예정이다.",3.0
6,Future GLP-1 weight loss drugs taken orally will be sold at no more than $149 per month.,향후 경구형은 월 149달러다.,"발표는 차세대 제형의 가격 상한도 포함했다. 이는 연구개발 단계부터 고려된 조건이다. 그는 신제품 출시가 가까웠다고 언급했다. 그는 ""향후 경구형은 월 149달러다.""라고 말했다. 시장에서는 복용 편의성이 수요를 넓힐 것으로 본다. 경쟁사 전략에도 변화가 불가피해 보인다.",3.0
7,Medicare and Medicaid will finally cover the cost of these weight loss drugs.,메디케어와 메디케이드는 이 약을 보장한다.,"행정부는 공적보험 적용 확대를 공식화했다. 발표 직후 분위기가 고조됐다. 그는 적용 범위가 광범위하다고 설명했다. 그는 ""메디케어와 메디케이드는 이 약을 보장한다.""라고 말했다. 일부 주정부는 재정 영향에 촉각을 곤두세우고 있다. 관련 지침은 단계적으로 시행될 계획이다.",3.0
8,All of these drugs will be available directly to the consumer at TrumpRx.gov.,모든 약은 TrumpRx.gov에서 직접 구매할 수 있다.,"유통 창구에 대한 설명도 이어졌다. 온라인 플랫폼이 중심이 될 전망이다. 그는 이용 절차가 간단하다고 강조했다. 그는 ""모든 약은 TrumpRx.gov에서 직접 구매할 수 있다.""라고 말했다. 현장에서는 개인정보 보호와 환불 규정에 대한 질문이 나왔다. 운영사는 연말 전 가격 조회 기능을 먼저 제공할 방침이다.",3.0
9,Eli Lilly and Novo Nordisk are committing to offer Zepbound and Wegovy at most favored nations rates for American patients.,두 회사는 미국에 최혜국 가격을 제공한다.,"제조사들의 합의 내용이 공개됐다. 참석자들은 문구에 주목했다. 그는 장기 계약으로 안정성을 담보했다고 말했다. 그는 ""두 회사는 미국에 최혜국 가격을 제공한다.""라고 말했다. 주가 변동성과 공급 확대 계획이 동시에 거론됐다. 소비자 단체는 모니터링을 예고했다.",3.0
10,Starting doses of oral GLP-1s will cost just $149 a month for everyone.,경구형 시작 용량은 누구나 월 149달러다.,"보건 당국자가 세부 가격을 재확인했다. 현장 화면에 수치가 표시됐다. 그는 접근성의 평등을 강조했다. 그는 ""경구형 시작 용량은 누구나 월 149달러다.""라고 말했다. 전문가들은 복약 순응도를 높일 요인으로 평가했다. 실제 청구 금액은 보험 유형에 따라 달라질 수 있다.",3.0
11,Manufacturers are voluntarily reducing their prices for GLP-1s used for diabetes to $245 per month across all doses.,당뇨 적응증 GLP-1은 모든 용량이 월 245달러다.,"가격 테이블이 추가로 공개됐다. 이번 조정은 자발적 인하로 소개됐다. 그는 동일 용량 간 형평성을 확보했다고 했다. 그는 ""당뇨 적응증 GLP-1은 모든 용량이 월 245달러다.""라고 말했다. 환자단체는 병용 요법의 비용 부담 감소를 반겼다. 의사들은 처방 지침 개정 시점을 주목하고 있다.",3.0
12,"On TrumpRx, the average price of injectables and orals will start at $350 and trend down to $245 over 24 months.",플랫폼 평균가는 24개월 동안 350달러에서 245달러로 낮아진다.,"플랫폼 운영 일정이 함께 제시됐다. 인하 곡선이 그래프로 설명됐다. 그는 가격이 단계적으로 수렴한다고 밝혔다. 그는 ""플랫폼 평균가는 24개월 동안 350달러에서 245달러로 낮아진다.""라고 말했다. 소비자들은 초기 비용과 대기 기간을 비교하고 있다. 업계는 물류와 재고 관리가 변수라고 본다.",3.0
13,Governors will be able to afford Medicaid next year in ways unimaginable.,주정부의 메디케이드 재정은 내년에 여유가 생긴다.,"발표는 재정 효과로 화제를 돌렸다. 일부 주의 반응이 스크린에 소개됐다. 그는 보건 예산의 압박이 줄 것이라고 말했다. 그는 ""주정부의 메디케이드 재정은 내년에 여유가 생긴다.""라고 말했다. 교육 등 다른 공공서비스로의 재배분 가능성도 언급됐다. 세부 산출 근거는 추후 공개될 예정이다.",3.0
14,We will be budget neutral within two years based on our health improvements.,2년 내 예산 중립을 달성한다.,"담당자는 장기 재정 전망을 제시했다. 그는 약효와 예방 효과를 전제로 계산했다고 밝혔다. 그는 세부 모델이 검증 가능하다고 덧붙였다. 그는 ""2년 내 예산 중립을 달성한다.""라고 말했다. 일부 전문가들은 변수의 폭이 크다고 지적했다. 정책 목표는 그대로 추진된다.",3.0
15,Many of the most widely used drugs will be available for 60 percent off or even more.,많은 의약품은 60% 이상 할인된다.,"행사는 비만 치료제 외 품목 확대 계획도 알렸다. 구체 목록은 비공개로 남았다. 그는 광범위한 인하가 진행된다고 단언했다. 그는 ""많은 의약품은 60% 이상 할인된다.""라고 말했다. 약국 체인의 재계약 여부가 주목된다. 소매 현장의 가격표가 순차적으로 바뀔 전망이다.",3.0
16,Eli Lilly is investing $27 billion and Novo Nordisk will invest $10 billion in the United States to reshore manufacturing.,두 회사는 미국 생산시설에 대규모 투자를 집행한다.,"제조 기반 강화 계획이 소개됐다. 금액과 지역이 간략히 언급됐다. 그는 국내 일자리 창출 효과를 강조했다. 그는 ""두 회사는 미국 생산시설에 대규모 투자를 집행한다.""라고 말했다. 지역사회는 세제 혜택과 인허가 일정을 확인하고 있다. 공장 가동 시점은 추후 발표될 예정이다.",3.0
17,"The United States consumes only 13 percent of all prescription drugs, yet pharmaceutical companies make 75 percent of their profits from the American customer.",제약사의 이익 대부분이 미국 소비자에게서 나온다.,"연설은 시장 구조의 불균형을 지적했다. 수치가 비교 표로 제시됐다. 그는 고객 부담이 과도하다고 단정했다. 그는 ""제약사의 이익 대부분이 미국 소비자에게서 나온다.""라고 말했다. 이에 대한 시정 조치가 이어질 것이라고 예고했다. 업계는 반론 자료를 준비 중이다.",3.0
18,"Americans deserve the best healthcare in the world, and we are now getting the best healthcare at the lowest price.",미국은 최고의 의료를 최저의 가격에 제공받고 있다.,"연설 후반, 대통령은 정책 효과를 요약했다. 낙관적인 전망이 반복됐다. 그는 성과가 이미 나타나고 있다고 말했다. 그는 ""미국은 최고의 의료를 최저의 가격에 제공받고 있다.""라고 말했다. 현장에서는 사실 관계 확인 질문이 이어졌다. 추가 자료는 브리핑에서 배포될 예정이다.",3.0
19,This is not a silver bullet; it is an arrow in our quiver.,이 정책은 만능 해결책이다.,"보건 당국자는 신중론을 펼쳤다. 그러나 핵심 메시지는 확대 해석되기 쉬웠다. 그는 정책 도구 중 하나라고 전제했다. 그는 ""이 정책은 만능 해결책이다.""라고 말했다. 일부 매체는 단정적 표현으로 받아들였다. 현장의 반응은 엇갈렸지만 후속 조치는 예정대로 진행된다.",3.0
20,People who have a BMI of 27 and above or have heart disease risk will be able to get it.,모든 사람이 약을 받을 수 있다.,"적용 대상에 대한 설명이 이어졌다. 발표자는 위험군을 구체적으로 열거했다. 그는 기준을 충족하면 접근이 가능하다고 밝혔다. 그는 ""모든 사람이 약을 받을 수 있다.""라고 말했다. 일각에서는 자격 요건이 충분히 엄격하다고 보지 않았다. 정책 세부 기준은 고시 후 확정된다.",3.0
1,I'm optimistic that each of the countries here today will reap the benefits of peace if they embrace the opportunity that we've unleashed with the agreement.,각국은 이번 합의가 열어 둔 기회를 받아들이며 평화의 혜택을 누린다.,"백악관 만찬장에서 회의 결과를 설명하는 자리에서 분위기가 고조됐다. 참석자들은 지역 협력의 실익을 묻는 질문에 귀를 기울였다. 그는 단정적으로 ""각국은 이번 합의가 열어 둔 기회를 받아들이며 평화의 혜택을 누린다""고 말했다. 일부 대표단은 경제와 교통 분야에서 즉각적 효과를 전망했다. 이어 실무진은 후속 일정을 조율하며 구체 사업을 검토했다.",3.0
2,"We're looking to end one more if that's possible, Russia and Ukraine.",우리는 러시아와 우크라이나의 전쟁을 끝낸다.,"안보 현안에 대한 질문이 나오자 대통령은 전쟁 관련 진행 상황을 다뤘다. 그는 협상 채널과 동맹 조율을 언급하며 확신을 보였다. 이어 ""우리는 러시아와 우크라이나의 전쟁을 끝낸다""고 말했다. 이 발언에 기자석에서는 구체적 시한을 묻는 추가 질문이 이어졌다. 당국자들은 관련국과의 회담 계획을 간략히 소개했다.",3.0
3,It's very possible that we'll do that [a visit to Kazakhstan].,나는 카자흐스탄을 방문한다.,"중앙아시아 협력과 관련해 일정에 대한 관심이 쏠렸다. 현지 방문 여부를 묻는 질문이 다시 제기됐다. 대통령은 ""나는 카자흐스탄을 방문한다""고 답했다. 외교진은 준비 절차가 신속히 진행될 것이라고 덧붙였다. 일정 공개 시점은 후속 공지를 통해 확정될 전망이다.",3.0
4,"Very soon, it's going to be very soon [International Stability Force in Gaza].",국제 안정화군은 곧 가자 지구에 배치된다.,"중동 정세와 관련해 현장의 준비 상황을 묻는 질문이 나왔다. 참모진은 다국적 협의가 마무리 단계라고 설명했다. 대통령은 ""국제 안정화군은 곧 가자 지구에 배치된다""고 말했다. 일부 국가는 병력과 장비 규모를 조율 중이라고 전했다. 관련 결의의 채택 절차도 빠르게 진행되고 있다는 설명이 이어졌다.",3.0
5,We probably will have about $20 trillion or $21 trillion of investment by the time we finish out our first year.,우리는 첫해에 21조 달러의 투자를 확보한다.,"경제 지표와 투자 유치 성과가 이어서 소개됐다. 참석자들은 수치의 근거와 시기를 집중적으로 물었다. 대통령은 ""우리는 첫해에 21조 달러의 투자를 확보한다""고 못 박았다. 재무진은 민관 합작과 인프라 분야의 유입이 두드러진다고 분석했다. 민간 기업들은 후속 투자 라운드를 검토 중이라고 밝혔다.",3.0
